pseudoid,weightnet,vacuumed,quantum,quantumunit,geometry,height,density,massinjar,massinjartare,massinjargross,dryweightnet,dryweightpercent,totalvaporizationamount,totalvaporizationvolume,ashweightnet,amounttoashing,ashconcentration,srcarrierconcentration,srcarriervolume,sievedorganicweight,sievedrocksweight,sieveddryweight
76696,,0,0.7844,kg,g-1,30.0,1.45,784.4,642.7,1427.1,,,,,,,,,,,,
62400,,0,1.8716,kg,g-1,30.0,3.46,1871.6,642.7,2514.3,,,,,,,,,,,,
67578,,0,1.0011,kg,g-1,30.0,1.85,1001.1,635.7,1636.8,,,,,,,,,,,,
67065,,0,0.9807,kg,g-1,30.0,1.81,980.7,629.7,1610.4,,,,,,,,,,,,
63138,,0,2.0007,kg,g-1,30.0,3.7,2000.7,624.0,2624.7,,,2000.7,,,,,,,,,
75396,,0,1.3592,kg,g-1,30.0,2.51,1359.2,640.8,2000.0,,,1359.2,,,,,,,,,
54838,,0,1.3663,kg,g-1,30.0,2.53,1366.3,633.7,2000.0,,,,,,,,,,,,
59218,,0,1.371,kg,g-1,30.0,2.53,1371.0,629.0,2000.0,,,,,,,,,,,,
74920,,1,1.9885,kg,g-2,26.0,17.78,1988.5,26.8,2015.3,,,,,,,,,,,,
54914,2996.19,0,0.62817,kg_tp,g-1,30.0,0.84,454.61,133.1,587.71,2168.49,72.37,,,,,,,,,,
67675,,0,1.0,kg,g-4,5.0,0.67,,,,,,,,,,,,,,,
63324,,1,0.7931,kg,g-2,25.0,7.38,793.1,27.9,821.0,,,,,,,,,,,,
65671,,1,0.8315,kg,g-2,25.0,7.73,831.5,28.0,859.5,,,,,,,,,,,,
77734,,0,1.1747,kg,g-4,0.0,1.0,1174.7,96.7,1271.4,,,,,,,,,,,,
53834,351.4,0,0.1917,kg,g-1,30.0,0.35,191.7,133.1,324.8,339.29999999999995,102.38,,,,,,,,,,
54327,,0,1.0,laaduton,g-6,40.0,1.05,,,,,,,,,,,,,,,
71310,,0,1.0,laaduton,g-5,20.0,1.05,,,,,,,,,,,,,,,
