pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
61655,146.92,1,0.05314,kg_kp,g-3,26,1.48,53.14,11.14,64.28,115.02,78.29,,,,,,,,,,
78621,128.93,1,0.04894,kg_kp,g-3,26,1.36,48.94,11.67,60.61,101.24,78.52,,,,,,,,,,
66112,118.68,1,0.04915,kg_kp,g-3,26,1.36,49.15,10.99,60.14,92.04,77.55,,,,,,,,,,
75571,109.2,1,0.04702,kg_kp,g-3,26,1.31,47.02,10.99,58.01,82.39,75.45,,,,,,,,,,
68010,2822.7,0,0.04238,kg_kp,g-2,17,0.58,42.38,25.87,68.25,43.09999999999991,1.53,,,,,,,,,,
62011,,0,,,,,,,,,,,,,,,,,,,,
70257,,0,29655.8,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
53881,,0,2686.3,m^3,g-7,0,1,,,,,,,,,,,,,,,
70065,,0,29105.9,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
77173,,0,2882.8,m^3,g-7,0,1,,,,,,,,,,,,,,,
64274,,0,0.014718,m^3,g-3,4,0.93,5.139,11.0205,16.1598,,,14718,,,,,,,,,
79747,16972,0,0.016972,m^3,g-3,9,0.98,12.161,11.667,23.8284,,,,,,,,,,,,
69255,,1,0.00399,kg_kp,g-3,26,0.11,3.99,11.01,15,,,,,,,,,,,,
70723,,1,0.202,kg,g-2,26,1.81,202,27.1,229.1,,,,,,,,,,,,
79733,,1,0.1933,kg,g-2,26,1.73,193.3,27.2,220.5,,,,,,,,,,,,
75223,,1,0.1873,kg,g-2,26,1.67,187.3,27.2,214.5,,,,,,,,,,,,
56230,,1,0.1956,kg,g-2,26,1.75,195.6,27.1,222.7,,,,,,,,,,,,
59746,,0,0.12527,kg,g-2,26,1.12,125.27,27.14,152.41,,,,,,,,,,,,
56610,,0,0.1812,kg,g-2,26,1.62,181.2,27.14,208.34,,,,,,,,,,,,
61745,,0,0.12978,kg,g-2,26,1.16,129.78,27.13,156.91,,,,,,,,,,,,
57836,,0,0.27899,kg,g-2,26,2.49,278.99,27.13,306.12,,,,,,,,,,,,
77989,,0,0.50831,kg,g-1,30,0.94,508.31,132.66,640.97,,,,,,,,,,,,
50643,,0,0.49591,kg,g-1,30,0.92,495.91,133.08,628.99,,,,,,,,,,,,
70011,,0,0.49419,kg,g-1,30,0.91,494.19,135.28,629.47,,,,,,,,,,,,
55866,,0,0.5154,kg,g-1,30,0.95,515.4,136.88,652.28,,,,,,,,,,,,
63353,1306.4,0,0.49602,kg_tp,g-2,26,0.66,73.61,26.91,100.52,193.9000000000001,14.84,,,,,,,,,,
65817,,1,0.1793,kg,g-2,26,1.6,179.3,27.1,206.4,,,,,,,,,,,,
52853,,1,0.178,kg,g-2,26,1.59,178,27.1,205.1,,,,,,,,,,,,
71403,,1,0.1809,kg,g-2,26,1.62,180.9,27.1,208,,,,,,,,,,,,
80267,,1,0.2228,kg,g-2,26,1.99,222.8,27.1,249.9,,,,,,,,,,,,
52687,,1,0.2116,kg,g-2,26,1.89,211.6,27.1,238.7,,,,,,,,,,,,
64709,,1,0.2293,kg,g-2,26,2.05,229.3,27.1,256.4,,,,,,,,,,,,
54164,,0,0.0628,m^2,g-3,1,0.2,0.278,11.1332,11.4115,,,20996,,,,,1,6,,,
57317,,0,0.0628,m^2,g-3,1,0.23,0.316,11.142,11.4575,,,24384,,,,,1,8,,,
74164,,0,0.0628,m^2,g-3,1,0.24,0.326,11.1448,11.4708,,,21226,,,,,1,7.2,,,
56668,,0,0.0628,m^2,g-3,1,0.3,0.415,10.9751,11.39,,,18282,,,,,1,6,,,
72452,,0,0.0628,m^2,g-3,1,0.21,0.297,11.651,11.9481,,,23834,,,,,1,8,,,
